"column_name","data_type","is_nullable","character_maximum_length","udt_name"
"id","bigint","NO",NULL,"int8"
"category","character varying","YES",NULL,"varchar"
"doc_type","character varying","YES",NULL,"varchar"
"prompt","character varying","YES",NULL,"varchar"
"is_informational","boolean","YES",NULL,"bool"
"data_point","character varying","YES",NULL,"varchar"
"is_contextual","boolean","YES",NULL,"bool"
"output_structure","character varying","YES",NULL,"varchar"
"other_doc","character varying","YES",NULL,"varchar"
"output_category","character varying","YES",NULL,"varchar"
"note","character varying","YES",NULL,"varchar"
"is_image_analysis","boolean","YES",NULL,"bool"
"updated_at","timestamp without time zone","YES",NULL,"timestamp"
"isconsistent","boolean","YES",NULL,"bool"
"iterations","integer","YES",NULL,"int4"
"model_name","character varying","YES",NULL,"varchar"
"workflowName","character varying","YES",NULL,"varchar"
"description","character varying","YES",NULL,"varchar"
"workflow","character varying","YES",NULL,"varchar"
"flowType","character varying","YES",NULL,"varchar"
"version","bigint","YES",NULL,"int8"
"connectedPrompts","ARRAY","YES",NULL,"_bpchar"
"parentOrchestrator","ARRAY","YES",NULL,"_bpchar"
